NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_ERR,L0B_ERR,R0B_ERR,L5_ERR,L0G_ERR,R0G_ERR,L4_ERR,L0R_ERR,R0R_ERR,L3_ERR,L2_ERR,L1_ERR,R1_ERR,R2_ERR,R3_ERR,R4_ERR,R5_ERR,R6_ERR,LAB_SPECTRUM_TYPE
WaterIce,black,lab spectrum,0,IOF,0.311192279,0.309698404,0.309698404,0.307473734,0.307191449,0.307191449,0.305302942,0.304752798,0.304752798,0.30314016,0.299542772,0.297114675,0.297114675,0.294578365,0.291953142,0.290114243,0.280061261,0.272966571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ice
Carnallite,black,lab spectrum,0,IOF,0.120930179,0.12812144,0.12812144,0.137485121,0.157241521,0.157241521,0.238591735,0.24873137,0.24873137,0.276345935,0.306437726,0.301306585,0.301306585,0.302678062,0.309518307,0.321622321,0.33952887,0.352836998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Fe3+SO4(OH),black,lab spectrum,0,IOF,0.149695278,0.228545895,0.228545895,0.322817568,0.318504991,0.318504991,0.368459362,0.37814198,0.37814198,0.390280926,0.324318577,0.302382512,0.302382512,0.307156029,0.351763246,0.402406375,0.478545702,0.553851808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Schwertmannite,black,lab spectrum,0,IOF,0.016160213,0.026606222,0.026606222,0.048673494,0.069287693,0.069287693,0.151295566,0.183788219,0.183788219,0.242680473,0.3043775,0.303805079,0.303805079,0.291276886,0.28484769,0.283613955,0.293193742,0.308646878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Illite,black,lab spectrum,0,IOF,0.262932077,0.298436803,0.298436803,0.35820521,0.358949811,0.358949811,0.371217901,0.351710727,0.351710727,0.328455295,0.29844523,0.308349259,0.308349259,0.311709721,0.301200473,0.293303389,0.290764173,0.282724761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Copiapite,black,lab spectrum,0,IOF,0.071082663,0.182208882,0.182208882,0.303849433,0.306453521,0.306453521,0.37562746,0.391187851,0.391187851,0.425398835,0.367359847,0.317594054,0.317594054,0.287919716,0.30183087,0.325989868,0.381838846,0.445240276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Plagioclase,black,lab spectrum,0,IOF,0.262913357,0.268137739,0.268137739,0.27465819,0.27734887,0.27734887,0.289693011,0.296660801,0.296660801,0.308953311,0.323425936,0.32962492,0.32962492,0.331016502,0.329329117,0.327028255,0.320572973,0.310989732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feldspar
Olivine Fo66,black,lab spectrum,0,IOF,0.302343199,0.341037395,0.341037395,0.410110924,0.418337811,0.418337811,0.459546876,0.465469982,0.465469982,0.487215332,0.417726798,0.350715929,0.350715929,0.274032257,0.251497548,0.229720383,0.201070767,0.180716113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Obsidian,black,lab spectrum,0,IOF,0.312851862,0.328655101,0.328655101,0.336669845,0.340548503,0.340548503,0.352516224,0.359115631,0.359115631,0.368438715,0.365782561,0.359430264,0.359430264,0.34543493,0.328029833,0.320412397,0.310208216,0.302118639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amorphous
Akaganeite,black,lab spectrum,0,IOF,0.04525917,0.061871316,0.061871316,0.110396009,0.165258348,0.165258348,0.328883901,0.344591332,0.344591332,0.404700404,0.434641093,0.388237972,0.388237972,0.35431196,0.352070576,0.353977169,0.366900158,0.389578406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
JSC1,black,lab spectrum,0,IOF,0.060785843,0.085602073,0.085602073,0.131277147,0.151880644,0.151880644,0.2381199,0.26433325,0.26433325,0.319440015,0.378448607,0.395047265,0.395047265,0.399442417,0.400080756,0.40097729,0.403434814,0.407264173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amorphous
Nontronite,black,lab spectrum,0,IOF,0.065250664,0.133724217,0.133724217,0.248532074,0.261161604,0.261161604,0.326350633,0.319680101,0.319680101,0.350751001,0.456187954,0.452484266,0.452484266,0.403544806,0.378995009,0.372095909,0.380326496,0.406859498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
FePerchlorate,black,lab spectrum,0,IOF,0.31923661,0.38416765,0.38416765,0.450471509,0.458232806,0.458232806,0.510624638,0.504442101,0.504442101,0.495121715,0.448554999,0.455610724,0.455610724,0.49175691,0.514737156,0.523315944,0.515700358,0.511674421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perchlorate
Enstatite,black,lab spectrum,0,IOF,0.581882078,0.590821344,0.590821344,0.602674938,0.602669462,0.602669462,0.609629515,0.608279413,0.608279413,0.607395446,0.575655391,0.499080052,0.499080052,0.380180125,0.358766273,0.378956666,0.441034901,0.512715659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Diopside,black,lab spectrum,0,IOF,0.459094948,0.491818247,0.491818247,0.536126522,0.535613445,0.535613445,0.55339717,0.547324499,0.547324499,0.540570585,0.513278683,0.499446418,0.499446418,0.49235599,0.456243367,0.411366711,0.344017019,0.294575105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Actinolite,black,lab spectrum,0,IOF,0.453961098,0.491320158,0.491320158,0.538566144,0.524173762,0.524173762,0.497216046,0.483131761,0.483131761,0.474148096,0.510817214,0.540240735,0.540240735,0.530557813,0.491660017,0.451409564,0.398553666,0.370424271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
