NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_ERR,R2_ERR,L0B_ERR,R0B_ERR,L1_ERR,R1_ERR,R0G_ERR,L0G_ERR,R0R_ERR,L0R_ERR,L4_ERR,L3_ERR,R3_ERR,L5_ERR,R4_ERR,R5_ERR,L6_ERR,R6_ERR,LAB_SPECTRUM_TYPE
Calcite,black,lab spectrum,0,IOF,0.9049877442,0.9049877442,0.9337483818,0.9337483818,0.9361623681,0.9361623681,0.9423119808,0.9423119808,0.9446146537,0.9446146537,0.949891028,0.9502184086,0.9618339037,0.96099621,0.9573504314,0.951967765,0.9592130484,0.9592130484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Carnallite,black,lab spectrum,0,IOF,0.1351003814,0.1351003814,0.1340737426,0.1340737426,0.138929078,0.138929078,0.1648400942,0.1648400942,0.2536085986,0.2536085986,0.2759733,0.306020628,0.300510614,0.3014220899,0.3084043945,0.3199926227,0.3502694706,0.3502694706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Celadonite,black,lab spectrum,0,IOF,0.2129100953,0.2129100953,0.2635553165,0.2635553165,0.2814321115,0.2814321115,0.2576569149,0.2576569149,0.1694096006,0.1694096006,0.1379621181,0.1163534754,0.1257328334,0.1284905805,0.1254553186,0.1239645508,0.1254679364,0.1254679364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Chlorite,black,lab spectrum,0,IOF,0.2564073759,0.2564073759,0.2841365489,0.2841365489,0.2958665098,0.2958665098,0.2938882964,0.2938882964,0.2703570031,0.2703570031,0.2547717319,0.2614123476,0.2847948831,0.2768104733,0.2768197239,0.2826567861,0.2990971331,0.2990971331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Copiapite,black,lab spectrum,0,IOF,0.1050096739,0.1050096739,0.223477733,0.223477733,0.3023289705,0.3023289705,0.3204393785,0.3204393785,0.3978431346,0.3978431346,0.4260226918,0.3705721567,0.3147638627,0.2858213884,0.3012243761,0.3244123661,0.4378701227,0.4378701227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Coquimbite,black,lab spectrum,0,IOF,0.4824848034,0.4824848034,0.5362465486,0.5362465486,0.5446939974,0.5446939974,0.5548915151,0.5548915151,0.6168284473,0.6168284473,0.6422809861,0.6087898926,0.6234266489,0.6753518661,0.7042568019,0.7125883755,0.7288477297,0.7288477297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Augite,black,lab spectrum,0,IOF,0.0681934551,0.0681934551,0.0814918228,0.0814918228,0.0956892037,0.0956892037,0.0997011357,0.0997011357,0.1084861552,0.1084861552,0.1092179859,0.1103051859,0.1202578715,0.1322180131,0.1167100041,0.0994100358,0.0766955067,0.0766955067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Dolomite,black,lab spectrum,0,IOF,0.6871519223,0.6871519223,0.7005537905,0.7005537905,0.7011899024,0.7011899024,0.7063404362,0.7063404362,0.7079914481,0.7079914481,0.7112766163,0.7144618608,0.7198238164,0.7106906265,0.7033457753,0.6911883231,0.6765998395,0.6765998395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Enstatite,black,lab spectrum,0,IOF,0.5753647183,0.5753647183,0.5942209333,0.5942209333,0.601185004,0.601185004,0.6043114195,0.6043114195,0.6089462866,0.6089462866,0.6080993785,0.5785648323,0.4923895317,0.3802222765,0.3604634243,0.3800546597,0.5074908601,0.5074908601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Epidote,black,lab spectrum,0,IOF,0.060719124,0.060719124,0.0745819446,0.0745819446,0.1226393921,0.1226393921,0.117675986,0.117675986,0.1296495825,0.1296495825,0.1598640583,0.2143521229,0.2460432287,0.2587131886,0.2544347127,0.2418546049,0.2264327268,0.2264327268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Epsomite,black,lab spectrum,0,IOF,0.8801072469,0.8801072469,0.882317773,0.882317773,0.8817694799,0.8817694799,0.8823651154,0.8823651154,0.8754580048,0.8754580048,0.8769547056,0.8705349957,0.8744833821,0.8552797694,0.8354820849,0.8053398123,0.7406332967,0.7406332967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Fe3+SO4(OH),black,lab spectrum,0,IOF,0.1758555946,0.1758555946,0.2597861307,0.2597861307,0.3231709374,0.3231709374,0.3286422782,0.3286422782,0.3822374535,0.3822374535,0.3915862116,0.3267565774,0.3025392397,0.3080507861,0.3495140334,0.3987178517,0.5439010854,0.5439010854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
FePerchlorate,black,lab spectrum,0,IOF,0.33574386,0.33574386,0.4082078298,0.4082078298,0.4494467857,0.4494467857,0.4674249724,0.4674249724,0.5068279968,0.5068279968,0.496878865,0.4493003647,0.457376094,0.4918803878,0.5136477353,0.5226517277,0.5107304899,0.5107304899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perchlorate
Ferricopiapite,black,lab spectrum,0,IOF,0.2187381322,0.2187381322,0.4125870689,0.4125870689,0.5299578747,0.5299578747,0.5681529439,0.5681529439,0.6818671413,0.6818671413,0.7180192635,0.6623400263,0.5843001744,0.5366893394,0.5434722034,0.5681686816,0.6668324734,0.6668324734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Ferrihydrite,black,lab spectrum,0,IOF,0.0278729713,0.0278729713,0.0222350571,0.0222350571,0.0261937427,0.0261937427,0.0346390258,0.0346390258,0.0832514249,0.0832514249,0.1154103504,0.1778668108,0.1926706167,0.1836841512,0.177842423,0.1756689851,0.1873406346,0.1873406346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Ferrosilite,black,lab spectrum,0,IOF,0.2033181667,0.2033181667,0.2280238041,0.2280238041,0.2473876487,0.2473876487,0.2616025931,0.2616025931,0.3293009789,0.3293009789,0.369952346,0.366728913,0.2166292711,0.1175729514,0.102323505,0.1067544434,0.2175223498,0.2175223498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Glauconite,black,lab spectrum,0,IOF,0.1228967364,0.1228967364,0.1472585673,0.1472585673,0.1628438279,0.1628438279,0.1626771137,0.1626771137,0.1396114393,0.1396114393,0.1244998629,0.1070354956,0.1080986357,0.1059653995,0.1016134528,0.0980056279,0.0921048233,0.0921048233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Goethite,black,lab spectrum,0,IOF,0.0486891345,0.0486891345,0.0515229009,0.0515229009,0.0753302104,0.0753302104,0.1213248378,0.1213248378,0.2002646435,0.2002646435,0.213454249,0.2789718193,0.2660444029,0.225314343,0.2203022979,0.2189576885,0.2503936169,0.2503936169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Gypsum,black,lab spectrum,0,IOF,0.905059181,0.905059181,0.9079848479,0.9079848479,0.911537136,0.911537136,0.9176244726,0.9176244726,0.9237573879,0.9237573879,0.9259724639,0.9293449169,0.9390751787,0.927300825,0.9202201973,0.9083299652,0.8745298475,0.8745298475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Hedenbergite,black,lab spectrum,0,IOF,0.072954496,0.072954496,0.0909008425,0.0909008425,0.1066735197,0.1066735197,0.1045580957,0.1045580957,0.0867839189,0.0867839189,0.0745015636,0.0599860054,0.0565109657,0.060894362,0.061873091,0.0609260517,0.0605540985,0.0605540985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Hematite,black,lab spectrum,0,IOF,0.0426773109,0.0426773109,0.0264768039,0.0264768039,0.0266360324,0.0266360324,0.050062817,0.050062817,0.1804855834,0.1804855834,0.2211773533,0.3083472714,0.2606890785,0.2311947647,0.2442456403,0.2699734251,0.4122967368,0.4122967368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Hexahydrite,black,lab spectrum,0,IOF,0.7661564926,0.7661564926,0.798285074,0.798285074,0.8196089903,0.8196089903,0.8308802252,0.8308802252,0.8623905918,0.8623905918,0.8722819264,0.8826681847,0.8903676302,0.8953498559,0.898532357,0.9000059163,0.9064661632,0.9064661632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Hydromagnesite-cacb49,black,lab spectrum,0,IOF,0.6539673511,0.6539673511,0.7121268406,0.7121268406,0.7474565968,0.7474565968,0.7575843503,0.7575843503,0.7611885423,0.7611885423,0.7531257406,0.7438034702,0.7562258647,0.7510465484,0.7489262672,0.7435198376,0.7452370902,0.7452370902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Illite,black,lab spectrum,0,IOF,0.2656935224,0.2656935224,0.3133794182,0.3133794182,0.354057598,0.354057598,0.3656072544,0.3656072544,0.3515925975,0.3515925975,0.329613281,0.2988221209,0.3093927722,0.3086357663,0.3016685667,0.2941745576,0.2845329271,0.2845329271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Ilmenite,black,lab spectrum,0,IOF,0.0556859757,0.0556859757,0.0538073664,0.0538073664,0.0535882456,0.0535882456,0.0541502179,0.0541502179,0.0556708956,0.0556708956,0.0569509656,0.0599208572,0.0618441663,0.0642099114,0.0651788673,0.062705704,0.0621002971,0.0621002971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Jarosite,black,lab spectrum,0,IOF,0.0916426652,0.0916426652,0.1173257359,0.1173257359,0.1526632331,0.1526632331,0.1900244897,0.1900244897,0.2779212245,0.2779212245,0.3231543315,0.3038934716,0.2122029759,0.1615911824,0.1534665026,0.1550543394,0.1873301143,0.1873301143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
JSC1,black,lab spectrum,0,IOF,0.0877749067,0.0877749067,0.1005421817,0.1005421817,0.1331024792,0.1331024792,0.1644762067,0.1644762067,0.2720968142,0.2720968142,0.3187174076,0.376100643,0.395401038,0.3980529519,0.3988086211,0.3993490471,0.4052289963,0.4052289963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amorphous
Kainite,black,lab spectrum,0,IOF,0.7416601304,0.7416601304,0.7813538819,0.7813538819,0.7989877117,0.7989877117,0.80859027,0.80859027,0.8268583468,0.8268583468,0.8303884156,0.8297473603,0.8269506017,0.8273271657,0.8242720955,0.8225297348,0.7906286149,0.7906286149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Kaolinite,black,lab spectrum,0,IOF,0.7590866202,0.7590866202,0.8098186157,0.8098186157,0.8424070538,0.8424070538,0.8604160992,0.8604160992,0.9035236366,0.9035236366,0.9213976663,0.9426945421,0.9556840382,0.956533333,0.9576116983,0.9488469558,0.9607139442,0.9607139442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Kieserite,black,lab spectrum,0,IOF,0.5323728372,0.5323728372,0.5547379831,0.5547379831,0.5713112958,0.5713112958,0.5902613264,0.5902613264,0.6429788706,0.6429788706,0.6576235389,0.6746241864,0.680263146,0.6866214112,0.6889918413,0.6899448043,0.6808352962,0.6808352962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
