NAME,SOL,LTST,SEQ_ID,ROVER_ELEVATION,TARGET_ELEVATION,TAU,FOCAL_DISTANCE,INCIDENCE_ANGLE,EMISSION_ANGLE,PHASE_ANGLE,LAT,LON,ODOMETRY,SCLK,LAB_SPECTRUM_TYPE,COLOR,FEATURE,ZOOM,TARGET,RMS,COMPRESSION,COMPRESSION_QUALITY,FLOAT,ROCK_SURFACE,GRAIN_SIZE,SOIL LOCATION,SOIL_COLOR,MORPHOLOGY,DISTANCE,LOCATION,LANDFORM_TYPE,WORKSPACE,ANALYSIS_NAME,MIN_COUNT,SCAM_LIBS,SCAM_VISIR,SCAM_RMI,SCAM_RAMAN,SHERLOC,WATSON,UNITS,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_ERR,L0B_ERR,R0B_ERR,L5_ERR,L0G_ERR,R0G_ERR,L4_ERR,L0R_ERR,R0R_ERR,L3_ERR,L2_ERR,L1_ERR,R1_ERR,R2_ERR,R3_ERR,R4_ERR,R5_ERR,R6_ERR,FILTER_AVG,ERR_AVG,REL_ERR_AVG
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,blue,soil,26,,206.0,NONE,0.0,N,,,,,,nearfield,Octavia E. Butler Landing,,Landing Site,,15.0,False,False,False,False,False,False,IOF,0.0499490834772586,0.0639631822705268,0.0613992400467395,0.0780310481786727,0.0929900407791137,0.0878651738166809,0.1410099864006042,0.1520191878080368,0.1537872701883316,0.1801995933055877,0.1958206295967102,0.1858680844306945,0.18434439599514,0.1722251623868942,0.1679066568613052,0.1670735776424408,0.1676524430513382,0.1680114269256591,0.0014463185798376,0.0033962307497859,0.003015694906935,0.0015930802328512,0.0022354875691235,0.0032868958078324,0.0040483479388058,0.0045476108789443,0.005087430588901,0.0053116967901587,0.006281342357397,0.006021378096193,0.0088126556947827,0.0085680186748504,0.0090343980118632,0.0091248713433742,0.0089334081858396,0.0080198189243674,0.13723,0.00549,0.04000582962908985
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,blue+2,pebble,26,,206.0,NONE,0.0,N,,,,,,nearfield,Octavia E. Butler Landing,,Landing Site,,3.0,False,False,False,False,False,False,IOF,0.0555327720940113,0.0689956694841384,0.0632516145706176,0.0806361064314842,0.096710555255413,0.092857576906681,0.1412650346755981,0.1534931063652038,0.1608514934778213,0.1807828545570373,0.1983943879604339,0.1852707862854004,0.1900364905595779,0.1795839816331863,0.1748659163713455,0.1724155396223068,0.1720477044582367,0.1690029203891754,0.0016944097587838,0.0018580004107207,0.0013016685843467,0.0022569843567907,0.0033852732740342,0.0022140755318105,0.0034125132951885,0.0035780924372375,0.0032204517628997,0.0043051741085946,0.0037060473114252,0.0058476473204791,0.0077276565134525,0.0072567211464047,0.0063768243417143,0.0065933093428611,0.0078644687309861,0.0037329592742025,0.14089,0.00424,0.030094399886436227
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,blue-1,pebble,26,,206.0,NONE,0.0,N,,,,,,nearfield,Octavia E. Butler Landing,,Landing Site,,4.0,False,False,False,False,False,False,IOF,0.0772766098380088,0.0843729153275489,0.0793704241514206,0.0927639752626419,0.1014090552926063,0.0954727306962013,0.1268759667873382,0.1261693835258484,0.1255035996437072,0.1396899670362472,0.140403002500534,0.1345324665307998,0.1302393525838852,0.1173097416758537,0.1182921156287193,0.1165516003966331,0.1170058697462081,0.1159838587045669,0.0100714303553104,0.0082749761641025,0.0120420986786484,0.0061501218006014,0.0062993969768285,0.0092557733878493,0.0038738811854273,0.0039449450559914,0.0082235606387257,0.0029950228054076,0.0036544243339449,0.0078658116981387,0.0188178662210702,0.0137871783226728,0.0181160122156143,0.0224154945462942,0.0236725118011236,0.0218403600156307,0.11329,0.01118,0.09868479124371084
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,blue-2,soil,26,,206.0,NONE,0.0,N,,,,,,nearfield,Octavia E. Butler Landing,,Landing Site,,2.0,False,False,False,False,False,False,IOF,0.1281935572624206,0.1509685218334198,0.1552851200103759,0.1779107302427292,0.2032862305641174,0.2009562999010086,0.280059814453125,0.2776470184326172,0.2927338480949402,0.334344208240509,0.3580226898193359,0.34306201338768,0.3321021199226379,0.3359996974468231,0.3274269104003906,0.3191336691379547,0.3028053045272827,0.287350445985794,0.0173559058457613,0.0162418987601995,0.025104084983468,0.011663001962006,0.0129682468250393,0.0193454008549451,0.0146317332983016,0.0074537843465805,0.0148146850988268,0.0130442082881927,0.0216717272996902,0.0132248997688293,0.0171698182821273,0.0273613445460796,0.033167265355587,0.0323047675192356,0.0477535314857959,0.0377669669687747,0.26707,0.02128,0.07967948477927136
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,cyan,rock,26,,206.0,NONE,0.0,N,,,,,pitted,nearfield,Octavia E. Butler Landing,,Landing Site,,17.0,False,False,False,False,False,False,IOF,0.1058704257011413,0.1277971565723419,0.1236800029873848,0.1447206735610962,0.1608943492174148,0.1607751697301864,0.2115387022495269,0.216608241200447,0.2382503151893615,0.2438130378723144,0.2550092935562134,0.2416439056396484,0.2632522284984588,0.2490801513195037,0.2479884177446365,0.2524007856845855,0.2559468746185303,0.2516279518604278,0.0049175880849361,0.0070580374449491,0.0044466136023402,0.0068972813896834,0.0090063083916902,0.0085925916209816,0.0147751588374376,0.0160477813333272,0.0140431094914674,0.0200057327747344,0.0243062861263752,0.0231276769191026,0.0180255491286516,0.0180837586522102,0.0181966610252857,0.0173673126846551,0.0170069206506013,0.0154439294710755,0.20838,0.0143,0.06862462808330934
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,green,rock,26,,206.0,NONE,0.0,N,,,,,pitted,nearfield,Octavia E. Butler Landing,,Landing Site,,22.0,False,False,False,False,False,False,IOF,0.108566477894783,0.133182942867279,0.1254609227180481,0.1491317152976989,0.1670092344284057,0.1607834994792938,0.2193235754966735,0.2261370718479156,0.2293988317251205,0.2550974786281585,0.2617992162704468,0.253251701593399,0.249592050909996,0.2355384975671768,0.236448734998703,0.2379696369171142,0.2389952987432479,0.2328153401613235,0.0039362553507089,0.0064517799764871,0.0053338482975959,0.0046940799802541,0.0063648871146142,0.0069054192863404,0.0115101505070924,0.0103670638054609,0.0140830967575311,0.0140240648761391,0.0188385806977748,0.021839439868927,0.0215607360005378,0.0191485732793808,0.0185553431510925,0.0189940147101879,0.0187437962740659,0.016197370365262,0.20669,0.0132,0.06386375731772219
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,green+2,rock,26,,206.0,NONE,0.0,N,,,,,paver,nearfield,Octavia E. Butler Landing,,Landing Site,,6.0,False,False,False,False,False,False,IOF,0.0894480794668197,0.1162325963377952,0.1049175709486007,0.1393690705299377,0.1618401110172271,0.1513591557741165,0.2392523288726806,0.2461148053407669,0.242190271615982,0.2849780023097992,0.2946337759494781,0.2813563346862793,0.2771815061569214,0.2686949670314789,0.2701606750488281,0.2726861536502838,0.2760099470615387,0.2701157331466675,0.0044852215796709,0.0052225841209292,0.0074042580090463,0.0041344445198774,0.0075982897542417,0.0068519180640578,0.0060011278837919,0.0054629081860184,0.0087070474401116,0.0106819998472929,0.0095356563106179,0.0144282253459095,0.0135680651292204,0.0168926659971475,0.0183270908892154,0.0183949209749698,0.0177755504846572,0.0140165369957685,0.22147,0.01053,0.04754594301711292
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,azure,rock,26,,206.0,NONE,0.0,N,,,,,pitted,nearfield,Octavia E. Butler Landing,,Landing Site,,12.0,False,False,False,False,False,False,IOF,0.1085429415106773,0.1261472553014755,0.1183990389108657,0.1340584903955459,0.1528090983629226,0.1439655721187591,0.1959422975778579,0.2029679864645004,0.2043764442205429,0.229582130908966,0.2407908588647842,0.2268734574317932,0.2285751700401306,0.2129416018724441,0.211261510848999,0.213333323597908,0.2168583273887634,0.2124716788530349,0.0056378082372248,0.0053577371872961,0.0067632095888257,0.0057034245692193,0.0068850335665047,0.0084347296506166,0.0052892961539328,0.0048217619769275,0.0113222282379865,0.0049169710837304,0.0053314440883696,0.0072099426761269,0.0083001172170043,0.0094343004748225,0.0080960402265191,0.0088923079892992,0.0082008056342601,0.0077732829377055,0.18777,0.00713,0.037971987005378925
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,green-1,rock,26,,206.0,NONE,0.0,N,,,,,paver,nearfield,Octavia E. Butler Landing,,Landing Site,,9.0,False,False,False,False,False,False,IOF,0.0969801247119903,0.1233007088303566,0.1242144852876663,0.1495672166347503,0.1696951389312744,0.1726350486278534,0.2289452850818634,0.2312169075012207,0.2588237524032593,0.2630854845046997,0.2674697637557983,0.2547377645969391,0.269976407289505,0.2580040097236633,0.2555226385593414,0.2545506954193115,0.2552747726440429,0.2439867258071899,0.0044500012882053,0.0059705758467316,0.0075021665543317,0.0068005789071321,0.0076190130785107,0.0134276086464524,0.0152237331494688,0.014471692033112,0.0249929130077362,0.0146372970193624,0.0164761375635862,0.0201921891421079,0.0274322312325239,0.0334612913429737,0.0325911790132522,0.0313610173761844,0.0293407179415226,0.025717718526721,0.21544,0.01843,0.08554585963609357
Maaz,12.0,11:33:35,zcam03100,-2569.91,,,,15.210197,53.1284,67.89767,18.44462715,77.45088572,0.0,668004310.0,,magenta,rock,26,Maaz,206.0,NONE,0.0,N,,,,,paver,nearfield,Octavia E. Butler Landing,,Landing Site,,51.0,False,False,False,False,False,False,IOF,0.0819861888885498,0.1091075390577316,0.1063471287488937,0.1353190541267395,0.1607587933540344,0.1574717611074447,0.2423616349697113,0.2554117739200592,0.2628117799758911,0.2982441484928131,0.313952773809433,0.3056152164936065,0.3033964931964874,0.293443500995636,0.2923008501529693,0.2939460873603821,0.2961583435535431,0.2938838899135589,0.0064255660399794,0.0088074728846549,0.0101835774257779,0.0090392939746379,0.0102835549041628,0.0125275356695055,0.0127673614770174,0.0138426246121525,0.0184749942272901,0.0159982480108737,0.0186977535486221,0.0196395646780729,0.0287498831748962,0.02895881049335,0.0290541891008615,0.0276359543204307,0.0276343692094087,0.0226418916136026,0.23347,0.01785,0.07645521908596394
