NAME,COLOR,ANALYSIS_NAME,SOL,SEQ_ID,FEATURE,FLOAT,MORPHOLOGY,SCAM,TARGET,DISTANCE,WORKSPACE,SITE,DRIVE,RMS,ZOOM,L_S,SCLK,SOLAR_ELEVATION,INCIDENCE_ANGLE,EMISSION_ANGLE,PHASE_ANGLE,LTST,LAT,LON,ODOMETRY,ROVER_ELEVATION,TARGET_ELEVATION,FILE_TIMESTAMP,INSTRUMENT,COMPRESSION,L6,L6_ERR,L0B,L0B_ERR,R0B,R0B_ERR,L5,L5_ERR,L0G,L0G_ERR,R0G,R0G_ERR,L4,L4_ERR,L0R,L0R_ERR,R0R,R0R_ERR,L3,L3_ERR,L2,L2_ERR,L1,L1_ERR,R1,R1_ERR,R2,R2_ERR,R3,R3_ERR,R4,R4_ERR,R5,R5_ERR,R6,R6_ERR,ROI_SOURCE,LOCATION
something,blue,-,82,zcam03130,soil,-,-,Y,gj,midfield,2,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.055468544,0.004432454,0.07063522,0.0061891386,0.056522086,0.015340064,0.084212035,0.0075226757,0.098718986,0.008901204,0.084757686,0.020977227,0.14179547,0.0135162305,0.14663416,0.013082907,0.13096319,0.028800776,0.16207722,0.0136603415,0.172993,0.0138918245,0.16967626,0.012642867,0.15258268,0.027464919,0.14703955,0.025695842,0.14609677,0.024525259,0.14733931,0.02417304,0.14851451,0.023744978,0.14736664,0.021029623,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
something,cyan,-,82,zcam03130,soil,-,-,N,1,nearfield,1,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.05441726,0.0120581165,0.069248796,0.014753464,0.056611773,0.01464269,0.08278854,0.01694862,0.09572983,0.019239208,0.083904885,0.019968234,0.13573536,0.027039463,0.13844223,0.027177464,0.12677823,0.027033089,0.151264,0.029700726,0.1605652,0.030029366,0.15613087,0.028084466,0.14369322,0.026381368,0.13827908,0.024450088,0.13754524,0.023439184,0.13864122,0.023557333,0.13932706,0.023063364,0.1382213,0.020959469,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
something,green,-,82,zcam03130,rock,Y,paver,N,2,-,1,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.054623406,0.0058494518,0.06585014,0.0067460774,0.061536826,0.007802742,0.075279914,0.0071335095,0.08514523,0.008255925,0.08668415,0.010751038,0.114574775,0.010811733,0.117241904,0.011164463,0.12836577,0.017402375,0.12802368,0.01276107,0.13357125,0.012692051,0.127692,0.012622957,0.14365812,0.019548811,0.13594668,0.01787317,0.13449617,0.017323218,0.13484572,0.016752418,0.13539672,0.016052837,0.13372217,0.013792732,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
something,orange,-,82,zcam03130,rock,Y,pitted,Y,1,nearfield,2,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.060857985,0.0032072493,0.074437946,0.003952409,0.05677445,0.0046650465,0.086205244,0.004116089,0.09833788,0.00499359,0.08042829,0.005928049,0.1369921,0.0053118374,0.1396729,0.00713717,0.119822465,0.009399443,0.15226893,0.0077297525,0.16310513,0.008341856,0.1570902,0.0077339006,0.13517518,0.0120490035,0.12834911,0.011734402,0.12614271,0.011944006,0.12614475,0.011342391,0.1272809,0.01154893,0.12701641,0.009379373,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
something,purple,-,82,zcam03130,-,-,-,N,2,midfield,2,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.074811675,0.0047620144,0.084484585,0.006056023,0.08056589,0.0047078175,0.090474926,0.0059448546,0.09872294,0.0071687927,0.09882506,0.0065479986,0.12367356,0.009669399,0.12352893,0.010280776,0.1273413,0.008189153,0.13206917,0.011613224,0.13828649,0.01311107,0.13244568,0.011076112,0.13645922,0.014385498,0.12801205,0.01109828,0.12856176,0.012354104,0.13084178,0.015289372,0.132564,0.018160056,0.13124533,0.015710432,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
something,red,-,82,zcam03130,soil,-,-,Y,1,-,1,3,2430,1248,110,44.6755,674201210.976,23.3508,-66.6492,108.1052,41.717136,07:17:40,18.44412598,77.45258735,317.57,-2568.81,-,2021-05-26T21:46:01.158883,ZCAM,NONE,0.04602788,0.0027395543,0.05575604,0.003042614,0.050795812,0.0046909386,0.06467216,0.0038095673,0.07394712,0.0043867202,0.0709491,0.0074305017,0.1032403,0.006731513,0.10719826,0.0064389273,0.10610827,0.01055369,0.118797325,0.00757384,0.12730016,0.0071092215,0.12312511,0.0067712376,0.118036896,0.010374154,0.11051502,0.00854764,0.10879674,0.008062671,0.109229855,0.00735935,0.10940111,0.0074726404,0.109458685,0.006607344,SOL82_SEQIDzcam03130_SITE3_DRIVE2430_RMS1248_ZOOM110-roi.fits,Octavia E. Butler Landing
