name,sol,ltst,seq_id,target_elevation,tau,focal_distance,incidence_angle,emission_angle,phase_angle,lat,lon,sclk,color,feature,formation,member,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_err,R2_err,L0B_err,R0B_err,L1_err,R1_err,R0G_err,L0G_err,R0R_err,L0R_err,L4_err,L3_err,R3_err,L5_err,R4_err,R5_err,L6_err,R6_err
Garub,1167,11:56:24,mcam05284,-4432.9933,0.499204,3.61,28.1583,44.4967,60.715771,-4.67631,137.36605,,red,undisturbed soil,,,0.0410653,0.0489015,0.0531688,0.0609243,0.066335,0.0788346,0.0956165,0.0843665,0.151607,0.135872,0.153647,0.168021,0.193356,0.170819,0.190194,0.189261,0.168359,0.188436,0.00193854,0.00498011,0.00384442,0.00948405,0.00283622,0.00733962,0.0111621,0.00416642,0.0163099,0.00635063,0.00743765,0.00782938,0.0177903,0.00868485,0.0205282,0.0199572,0.00764186,0.0187457
Garub,1167,11:56:24,mcam05284,-4432.9933,0.499204,3.61,28.1583,44.4967,60.715771,-4.67631,137.36605,,teal,dusty rock,Murray,Pahrump Hills,0.0509336,0.0531016,0.0670539,0.0662211,0.0844881,0.0920058,0.111346,0.111328,0.194109,0.195062,0.221418,0.252888,0.261443,0.263174,0.26007,0.26356,0.26786,0.264922,0.0044788,0.00617373,0.00768058,0.00920519,0.00635923,0.00920081,0.0121809,0.00942177,0.018786,0.0147196,0.0161791,0.0164227,0.0234689,0.0185716,0.0246142,0.0253132,0.0184929,0.0237808
Lubango Postsieve Dmp,1328,12:04:41,mcam06371,-4430.0293,0.535281,4.008,18.4776,43.6652,27.19405,-4.6782608,137.35923,,dark purple,dump piles,Stimson,,0.332901,0.352666,0.318308,0.321893,0.282921,0.310861,0.308349,0.307825,0.305729,0.308479,0.300451,0.308489,0.315288,0.302895,0.299801,0.292788,0.283179,0.28297,0.00796136,0.015105,0.0099098,0.0162583,0.00753279,0.0120024,0.0134865,0.00805691,0.0146405,0.00878295,0.00730425,0.00723358,0.0112672,0.00663841,0.0121779,0.0123652,0.00640711,0.0108821
Lubango Postsieve Dmp,1328,12:04:41,mcam06371,-4430.0293,0.535281,4.008,18.4776,43.6652,27.19405,-4.6782608,137.35923,,dark red,disturbed soil,,,0.0622879,0.0743828,0.0816265,0.0904615,0.0844399,0.0974779,0.114814,0.104046,0.172804,0.158778,0.170464,0.190669,0.216658,0.189166,0.209471,0.201794,0.181706,0.201659,0.00345082,0.00593076,0.0048932,0.00828463,0.00371111,0.0069697,0.00881738,0.00460826,0.0119764,0.00702737,0.00679185,0.00858979,0.0134949,0.00869304,0.0142046,0.0137557,0.00749227,0.0126498
Lubango Postsieve Dmp,1328,12:04:41,mcam06371,-4430.0293,0.535281,4.008,18.4776,43.6652,27.19405,-4.6782608,137.35923,,light blue,dusty rock,Stimson,,0.105653,0.129169,0.135328,0.152244,0.153106,0.178571,0.213485,0.191999,0.32367,0.298074,0.316638,0.346689,0.382391,0.355988,0.381744,0.376731,0.344823,0.370649,0.00347457,0.00733142,0.00474324,0.00732307,0.00427739,0.0067317,0.00743776,0.00465646,0.011474,0.00866567,0.00677476,0.00692032,0.0139657,0.00744674,0.0142799,0.0149548,0.00758557,0.0128749
Lubango Postsieve Dmp,1328,12:04:41,mcam06371,-4430.0293,0.535281,4.008,18.4776,43.6652,27.19405,-4.6782608,137.35923,,light purple,drill tailings,Stimson,,0.481197,0.54142,0.469911,0.503489,0.409403,0.470688,0.483132,0.451228,0.473703,0.446179,0.431023,0.445046,0.476787,0.437547,0.454298,0.450789,0.409773,0.432806,0.013024,0.0170221,0.0129472,0.0162921,0.0104481,0.0135543,0.0139317,0.0115172,0.0141731,0.0100777,0.00914134,0.00910376,0.011337,0.00970932,0.0127127,0.0128158,0.00888224,0.0105712
Barbwire,553,11:56:21,mcam02240,,0.418336,,29.7131,82.576,53.627596,-4.6297276,137.40043,,dark blue,dusty rock,Bradbury Group,,,,,0.109586,,,0.18423,,0.31978,,,,,,,0.503195,,0.50061,,,,0.0414411,,,0.060384,,0.0873989,,,,,,,0.119716,,0.114054
Barbwire,553,11:56:21,mcam02240,,0.418336,,29.7131,82.576,53.627596,-4.6297276,137.40043,,light blue,dusty rock,Bradbury Group,,,,,0.135111,,,0.21282,,0.359904,,,,,,,0.475577,,0.47207,,,,0.00684305,,,0.00819259,,0.0120549,,,,,,,0.0161689,,0.0161488
Barbwire,553,11:56:21,mcam02240,,0.418336,,29.7131,82.576,53.627596,-4.6297276,137.40043,,red,undisturbed soil,,,,,,0.0987681,,,0.158966,,0.276593,,,,,,,0.370286,,0.368364,,,,0.0076485,,,0.00930067,,0.0143942,,,,,,,0.0193213,,0.0180909
Barbwire,553,11:56:21,mcam02240,,0.418336,,29.7131,82.576,53.627596,-4.6297276,137.40043,,teal,dusty rock,Bradbury Group,,,,,0.134882,,,0.193093,,0.288602,,,,,,,0.335891,,0.328429,,,,0.0106857,,,0.0229951,,0.0519668,,,,,,,0.0753274,,0.0754432
