name,sol,ltst,seq_id,target_elevation,tau,focal_distance,incidence_angle,emission_angle,phase_angle,lat,lon,sclk,color,feature,formation,member,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_err,R2_err,L0B_err,R0B_err,L1_err,R1_err,R0G_err,L0G_err,R0R_err,L0R_err,L4_err,L3_err,R3_err,L5_err,R4_err,R5_err,L6_err,R6_err
Askival Lall 1x3 Rall,2016,11:48:09,mcam10636,-4153.436,0.536028,3.88,14.8382,47.6056,51.962659,-4.725489,137.38165,,red,undisturbed soil,,,0.0325878,0.0336109,0.0403484,0.0360671,0.0463372,0.0459328,0.0524286,0.0566428,0.078128,0.0844988,0.0911484,0.0951881,0.0868736,0.0856154,0.077707,0.0745945,0.0780877,0.0730234,0.00133417,0.0023727,0.00267615,0.00341617,0.00171911,0.0028601,0.00389532,0.00264953,0.00529502,0.00344726,0.00378562,0.00411116,0.0059088,0.00389135,0.00615509,0.00598243,0.00351515,0.00589684
Askival Lall 1x3 Rall,2016,11:48:09,mcam10636,-4153.436,0.536028,3.88,14.8382,47.6056,51.962659,-4.725489,137.38165,,yellow,,Murray,Jura,0.0603414,0.0644008,0.0658589,0.064399,0.0723847,0.0760353,0.0851443,0.0853129,0.125645,0.130481,0.135255,0.155205,0.15168,0.14799,0.142641,0.144747,0.1513,0.139954,0.0142421,0.0121209,0.0132664,0.0107698,0.0154572,0.0112473,0.0123783,0.0182782,0.0155309,0.0237072,0.0260519,0.0295837,0.0162029,0.0258189,0.0172967,0.0181991,0.0227205,0.0149922
Rigg Scuff 2x1,2409,11:04:17,mcam12773,-4158.6971,0.5884,3.405,20.7344,40.2953,42.253685,-4.7260936,137.38358,,dark red,disturbed soil,,,0.0416859,,0.0448903,,0.0508781,,,0.0593329,,0.0847416,0.0918399,0.0992448,,0.0905892,,,0.0844095,,0.00255687,,0.00373484,,0.00313806,,,0.00432297,,0.00633945,0.00608485,0.00641808,,0.00670788,,,0.00650565,
Rigg Scuff 2x1,2409,11:04:17,mcam12773,-4158.6971,0.5884,3.405,20.7344,40.2953,42.253685,-4.7260936,137.38358,,pink,disturbed soil,,,0.0451193,0.0431929,0.0474447,0.0465293,0.0516435,0.0517729,0.0560325,0.0581993,0.0686331,0.0724298,0.0755739,0.0774109,0.0724082,0.068857,0.0655335,0.0627354,0.0614429,0.0597303,0.00503586,0.00566586,0.00769553,0.00924666,0.00595322,0.0072904,0.0103004,0.00827771,0.0137306,0.0118744,0.0110807,0.012634,0.0109998,0.0140025,0.0127447,0.0129197,0.0134004,0.0116917
Rigg Scuff 2x1,2409,11:04:17,mcam12773,-4158.6971,0.5884,3.405,20.7344,40.2953,42.253685,-4.7260936,137.38358,,red,undisturbed soil,,,0.0461844,0.0477577,0.049071,0.0518441,0.0553866,0.0598879,0.0646386,0.0621958,0.0826783,0.0798911,0.0841455,0.0862379,0.0899017,0.0786862,0.0824513,0.0801665,0.0707262,0.076751,0.00322833,0.00758084,0.00571766,0.0120576,0.0036691,0.00929225,0.0131731,0.00588912,0.017783,0.00833696,0.00742499,0.00755738,0.0180312,0.00853427,0.0201366,0.0203797,0.00794284,0.0197514
Rigg Scuff 2x1,2409,11:04:17,mcam12773,-4158.6971,0.5884,3.405,20.7344,40.2953,42.253685,-4.7260936,137.38358,,sienna,undisturbed soil,,,0.0452796,0.049232,0.0484518,0.0529341,0.0549187,0.0596473,0.0669615,0.0628035,0.0897706,0.0862002,0.0921891,0.0967301,0.0954895,0.0848175,0.0863173,0.0836656,0.076581,0.080331,0.00417861,0.00720015,0.00717463,0.011253,0.00503035,0.00860499,0.0125895,0.00760516,0.0191917,0.0119772,0.0113307,0.012981,0.0225019,0.014059,0.0235007,0.024467,0.0139361,0.0240799
Photom West 1x2,1001,07:20:50,mcam04449,-4454.5167,1.000065,29.952,69.5093,71.1506,3.7340764,-4.6682932,137.37002,,dark blue,dusty rock,Stimson,,0.236616,,,,0.28872,,,,,,,0.420457,,,,,0.379025,,0.0219575,,,,0.0233363,,,,,,,0.0288972,,,,,0.0287676,
Photom West 1x2,1001,07:20:50,mcam04449,-4454.5167,1.000065,29.952,69.5093,71.1506,3.7340764,-4.6682932,137.37002,,light blue,dusty rock,Stimson,,0.270278,,,,0.342045,,,,,,,0.596107,,,,,0.569552,,0.00638977,,,,0.0091529,,,,,,,0.0179905,,,,,0.0157356,
Photom West 1x2,1001,07:20:50,mcam04449,-4454.5167,1.000065,29.952,69.5093,71.1506,3.7340764,-4.6682932,137.37002,,red,undisturbed soil,,,0.20333,,,,0.228619,,,,,,,0.345311,,,,,0.306844,,0.0048319,,,,0.00537441,,,,,,,0.00986606,,,,,0.00857985,
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,dark blue,dusty rock,Stimson,,0.0845693,0.0849209,0.106308,0.0999329,0.131332,0.133901,0.152362,0.165961,0.243736,0.263833,0.288566,0.315206,0.306137,0.326108,0.303996,0.29804,0.315269,0.285512,0.00192241,0.00278751,0.00404671,0.00419925,0.00364434,0.00451458,0.00509302,0.00531453,0.00973473,0.00794397,0.0104739,0.0129662,0.0141998,0.0163976,0.0156074,0.0146336,0.0156166,0.0137139
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,dark green,broken rock face,Stimson,,0.262695,0.30175,0.268007,0.293291,0.246115,0.280758,0.299207,0.271424,0.310131,0.283257,0.28162,0.294765,0.323928,0.29176,0.315593,0.309932,0.266234,0.29201,0.0382659,0.0532862,0.046399,0.0602919,0.0364934,0.04995,0.0567226,0.0421884,0.0573685,0.0447245,0.0352687,0.0366331,0.0491146,0.0396489,0.0501373,0.0501344,0.036116,0.0438961
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,dark red,disturbed soil,,,0.0683149,0.0745917,0.0875499,0.0890639,0.102386,0.112214,0.130055,0.126691,0.204273,0.196088,0.217177,0.235275,0.254073,0.242264,0.251441,0.248996,0.234641,0.243709,0.00280376,0.00468398,0.00533542,0.00974389,0.00376495,0.00717056,0.0104705,0.00503927,0.0169499,0.00962865,0.0069964,0.0084462,0.0194824,0.00984291,0.0206405,0.0205174,0.0101135,0.0189037
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,light blue,dusty rock,Stimson,,0.081603,0.0920927,0.10547,0.110084,0.125448,0.136345,0.16698,0.156572,0.265777,0.248397,0.267881,0.293165,0.322386,0.30104,0.324062,0.321694,0.293092,0.3154,0.00310831,0.00241156,0.00435704,0.00411845,0.00309069,0.00341545,0.00420255,0.00379737,0.0071929,0.00512885,0.00549237,0.00555054,0.0101528,0.00680506,0.0118033,0.0117107,0.00601209,0.0104681
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,red,undisturbed soil,,,0.0638181,0.0642278,0.0794615,0.0729296,0.0947237,0.0962517,0.107951,0.114785,0.170497,0.176825,0.197791,0.217715,0.215896,0.218505,0.210824,0.206388,0.212015,0.204158,0.00202152,0.00221663,0.00317969,0.00399164,0.00197663,0.00332315,0.00453657,0.00333792,0.0077776,0.00475509,0.00504788,0.00739595,0.0118879,0.00888523,0.0130842,0.0131973,0.00895555,0.0122556
Gariep,1314,11:50:41,mcam06265,-4432.4911,0.353046,6.21,21.0578,59.1857,38.89483,-4.6782008,137.35893,,teal,dusty rock,Stimson,,0.0847274,0.0998963,0.110793,0.123267,0.131687,0.154683,0.188158,0.168821,0.314003,0.278133,0.30679,0.344917,0.415158,0.359754,0.406924,0.406528,0.349664,0.396477,0.00228747,0.00405323,0.0054489,0.00727871,0.00361485,0.00601871,0.00766722,0.00511384,0.0116311,0.00733586,0.00726293,0.0054423,0.0133456,0.00703738,0.0154405,0.0152098,0.00621797,0.0122905
Photom East,872,13:24:56,mcam03826,-4464.8013,0.9192,19.679,28.9604,69.1961,43.458202,-4.6628637,137.37745,,dark blue,dusty rock,Murray,Pahrump Hills,0.113094,,,,0.182713,,,,,,,0.410965,,,,,0.395194,,0.00211711,,,,0.00321851,,,,,,,0.00716152,,,,,0.00667862,
Photom East,872,13:24:56,mcam03826,-4464.8013,0.9192,19.679,28.9604,69.1961,43.458202,-4.6628637,137.37745,,light blue,dusty rock,Murray,Pahrump Hills,0.0949071,,,,0.154685,,,,,,,0.404251,,,,,0.407693,,0.00152834,,,,0.00256495,,,,,,,0.00472896,,,,,0.00580578,
Photom East,872,13:24:56,mcam03826,-4464.8013,0.9192,19.679,28.9604,69.1961,43.458202,-4.6628637,137.37745,,red,undisturbed soil,,,0.0651842,,,,0.103473,,,,,,,0.249213,,,,,0.242572,,0.00146324,,,,0.00223482,,,,,,,0.0071809,,,,,0.00939116,
Inverness,2217,12:39:51,mcam11747,-4150.919,0.916208,3.028,22.3802,26.5375,37.515456,-4.7276056,137.37825,,dark blue,dusty rock,Murray,Jura,0.0541632,0.0558681,0.0646104,0.0644846,0.0677394,0.0737102,0.0838003,0.0822343,0.15036,0.137977,0.158883,0.190982,0.208342,0.182787,0.205586,0.210588,0.212808,0.228149,0.00771399,0.00381555,0.00904381,0.00551446,0.00778795,0.00422329,0.00537955,0.00844403,0.00887442,0.0200595,0.0202585,0.026395,0.0120885,0.0215331,0.0119107,0.0123883,0.0303064,0.0143847
Inverness,2217,12:39:51,mcam11747,-4150.919,0.916208,3.028,22.3802,26.5375,37.515456,-4.7276056,137.37825,,light blue,dusty rock,Murray,Jura,0.117071,0.129919,0.131866,0.143398,0.139914,0.15947,0.174524,0.160122,0.215123,0.195089,0.203607,0.225505,0.256047,0.224591,0.252159,0.248536,0.220716,0.242651,0.00626818,0.00667298,0.0086876,0.0087173,0.00604861,0.0075943,0.00876751,0.00807439,0.0113785,0.0086042,0.00761818,0.00851386,0.0123828,0.0114608,0.0137697,0.0141994,0.0121673,0.0141479
Inverness,2217,12:39:51,mcam11747,-4150.919,0.916208,3.028,22.3802,26.5375,37.515456,-4.7276056,137.37825,,light green,DRT target,Murray,Jura,0.161229,0.162587,0.165025,0.167865,0.165389,0.17265,0.186305,0.186455,0.226079,0.218858,0.229374,0.253757,0.257662,0.248845,0.251167,0.251255,0.238529,0.240155,0.0129173,0.010417,0.0133573,0.0127141,0.0102636,0.0102793,0.0111817,0.0125057,0.0131667,0.0119204,0.0134934,0.0133035,0.013981,0.014673,0.0155903,0.0155427,0.0136328,0.0138066
Inverness,2217,12:39:51,mcam11747,-4150.919,0.916208,3.028,22.3802,26.5375,37.515456,-4.7276056,137.37825,,red,undisturbed soil,,,0.0412214,0.040897,0.0464805,0.0461623,0.0580073,0.0610226,0.0659063,0.066004,0.103404,0.0965007,0.105767,0.111512,0.132531,0.111772,0.127004,0.12147,0.108687,0.11989,0.0040878,0.0031436,0.00909509,0.00573405,0.00529527,0.00504797,0.00618401,0.00975756,0.0104717,0.0127371,0.0145154,0.0136292,0.0153946,0.0181783,0.0149015,0.0147608,0.017597,0.014203
Photom Antisunset 2x1,2006,09:38:18,mcam10552,-4166.3919,0.48757,11.968,38.918,72.1331,102.77698,-4.724768,137.38036,,dark blue,dusty rock,Murray,Pettegrove Point,0.133788,,,,0.147143,,,,,,,0.305587,,0.296362,,,0.329349,,0.0200132,,,,0.0185512,,,,,,,0.0305408,,0.0370197,,,0.0342645,
Photom Antisunset 2x1,2006,09:38:18,mcam10552,-4166.3919,0.48757,11.968,38.918,72.1331,102.77698,-4.724768,137.38036,,light blue,dusty rock,Murray,Pettegrove Point,0.112947,,,,0.159787,,,,,,,0.405878,,0.405738,,,0.443309,,0.00866902,,,,0.0102475,,,,,,,0.0210146,,0.0251562,,,0.0245971,
Photom Antisunset 2x1,2006,09:38:18,mcam10552,-4166.3919,0.48757,11.968,38.918,72.1331,102.77698,-4.724768,137.38036,,red,undisturbed soil,,,0.056231,,,,0.0803257,,,,,,,0.174789,,0.171416,,,0.167075,,0.00330359,,,,0.00426183,,,,,,,0.0089315,,0.00922748,,,0.0085558,
Photom Antisunset 2x1,2006,09:38:18,mcam10552,-4166.3919,0.48757,11.968,38.918,72.1331,102.77698,-4.724768,137.38036,,teal,dusty rock,Murray,Pettegrove Point,0.113831,,,,0.164599,,,,,,,0.388743,,0.404703,,,0.41602,,0.0135457,,,,0.0157954,,,,,,,0.0267393,,0.029417,,,0.0304637,
Mette Tracks,331,10:58:07,mcam01341,-4518.4814,0.743557,13.165,15.3772,67.8134,81.457382,-4.590202,137.44753,,dark green,broken rock face,Bradbury Group,,0.0895756,0.100467,0.101055,0.108005,0.107011,0.125936,0.137513,0.124354,0.176958,0.159832,0.16921,0.177203,0.203056,0.178659,0.20242,0.199813,0.17575,0.196601,0.0139903,0.0211573,0.0190624,0.0250469,0.0160486,0.0252543,0.0293783,0.0203588,0.0385407,0.0278477,0.0263543,0.0294193,0.0432019,0.0312868,0.0427327,0.0431559,0.0289656,0.0396742
Mette Tracks,331,10:58:07,mcam01341,-4518.4814,0.743557,13.165,15.3772,67.8134,81.457382,-4.590202,137.44753,,dark red,disturbed soil,,,0.0331197,0.0315996,0.0387763,0.0338111,0.0451707,0.0478479,0.0491809,0.0521359,0.0807721,0.0825308,0.0994607,0.11375,0.113644,0.11842,0.113246,0.108557,0.123648,0.117344,0.00704046,0.00882077,0.00960322,0.0113336,0.00820195,0.010198,0.0128028,0.00953228,0.0182191,0.0131845,0.0142515,0.0144878,0.021168,0.015447,0.0213669,0.0216313,0.0137557,0.0201856
Mette Tracks,331,10:58:07,mcam01341,-4518.4814,0.743557,13.165,15.3772,67.8134,81.457382,-4.590202,137.44753,,light blue,dusty rock,Bradbury Group,,0.0911657,0.0994037,0.119153,0.115461,0.133487,0.15589,0.174789,0.167607,0.268725,0.260894,0.277823,0.30562,0.337768,0.323012,0.337485,0.330347,0.319518,0.322568,0.0116473,0.00547342,0.0154485,0.00757319,0.0139716,0.00803894,0.00973901,0.0183392,0.0151044,0.0228353,0.0222424,0.0212793,0.0172933,0.023068,0.0187932,0.0183081,0.0200461,0.0173798
Mette Tracks,331,10:58:07,mcam01341,-4518.4814,0.743557,13.165,15.3772,67.8134,81.457382,-4.590202,137.44753,,red,undisturbed soil,,,0.0581219,0.0600446,0.0737133,0.0715253,0.0914533,0.0992121,0.115455,0.117212,0.207317,0.205088,0.238926,0.278796,0.301117,0.300133,0.306752,0.306387,0.311319,0.310513,0.00207148,0.00332622,0.00459923,0.00596505,0.00371583,0.00491767,0.00704697,0.00493915,0.0100074,0.00765932,0.0062177,0.00768831,0.0129987,0.00836311,0.0142895,0.0128993,0.00777152,0.0118693
Puente,826,11:35:50,mcam03629,-4456.8941,1.270636,2.505,18.9927,39.9929,58.979653,-4.6632243,137.37788,,light blue,dusty rock,Murray,Pahrump Hills,0.0717311,0.0642696,0.0881508,0.0782863,0.111775,0.106977,0.128551,0.13983,0.206991,0.222708,0.256289,0.284011,0.269692,0.292592,0.267776,0.267859,0.292685,0.265614,0.00717837,0.00923399,0.0116826,0.0138296,0.00935147,0.0135065,0.0178266,0.0134655,0.0253437,0.0177677,0.0162224,0.0173903,0.0291143,0.0222359,0.0310697,0.0316625,0.0204035,0.0292768
Puente,826,11:35:50,mcam03629,-4456.8941,1.270636,2.505,18.9927,39.9929,58.979653,-4.6632243,137.37788,,light green,DRT target,Murray,Pahrump Hills,0.107977,0.124337,0.121481,0.141495,0.138794,0.166169,0.19342,0.165718,0.249547,0.217371,0.240752,0.254856,0.288943,0.251765,0.282845,0.280199,0.244193,0.272651,0.0134563,0.0203534,0.0185857,0.0252944,0.0144386,0.0217759,0.0268458,0.0185562,0.0309684,0.0220484,0.0167345,0.0181049,0.0296359,0.0227453,0.0311873,0.0307624,0.0181143,0.0278517
Puente,826,11:35:50,mcam03629,-4456.8941,1.270636,2.505,18.9927,39.9929,58.979653,-4.6632243,137.37788,,teal,dusty rock,Murray,Pahrump Hills,0.076254,0.0722163,0.0959699,0.0901877,0.119091,0.118028,0.148187,0.150511,0.239114,0.238259,0.272377,0.303749,0.30262,0.316808,0.3032,0.304468,0.31032,0.297525,0.00642355,0.0111368,0.0167322,0.0162582,0.0118211,0.0169591,0.0228879,0.0197127,0.0338738,0.0276701,0.0310775,0.0321924,0.0402858,0.0320363,0.0419589,0.042973,0.0301478,0.0403338
Britt Stereo,2036,12:11:25,mcam10747,-4176.3494,0.641812,5.187,10.505,63.9312,53.455492,-4.7241927,137.3795,,dark green,broken rock face,Murray,Pettegrove Point,0.0753126,0.0911007,0.0799795,0.097574,0.0799341,0.0951709,0.120534,0.102795,0.228054,0.190709,0.229584,0.275316,0.30263,0.248143,0.290349,0.308381,0.305743,0.347201,0.00650986,0.00962769,0.00589454,0.0103248,0.00523652,0.00933401,0.0102989,0.00642929,0.0198493,0.012194,0.0144842,0.0171893,0.022418,0.0161205,0.0227111,0.0248082,0.0180665,0.0251394
Britt Stereo,2036,12:11:25,mcam10747,-4176.3494,0.641812,5.187,10.505,63.9312,53.455492,-4.7241927,137.3795,,dark red,disturbed soil,,,0.0383073,0.0414938,0.0452557,0.04785,0.0510633,0.0560167,0.0662027,0.0614551,0.0952248,0.0881356,0.0980808,0.104321,0.110564,0.0957828,0.0986408,0.0951231,0.0880032,0.0924383,0.00293468,0.00352972,0.00344836,0.00531918,0.00322331,0.00418374,0.00555333,0.00419938,0.00706622,0.00541884,0.00499794,0.00546297,0.00803262,0.0052743,0.00813172,0.00828806,0.00513686,0.00789454
Britt Stereo,2036,12:11:25,mcam10747,-4176.3494,0.641812,5.187,10.505,63.9312,53.455492,-4.7241927,137.3795,,sienna,,Murray,Pettegrove Point,0.0664366,0.0791772,0.0804491,0.0947685,0.0989044,0.113593,0.13898,0.121963,0.205558,0.180852,0.192371,0.200756,0.22014,0.194715,0.21087,0.212036,0.192951,0.209316,0.00372744,0.00657033,0.00663452,0.0102962,0.00567306,0.00884951,0.0117114,0.00753954,0.0156978,0.0103019,0.00983336,0.0110895,0.0162382,0.0103994,0.0166844,0.0170429,0.010806,0.015853
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,dark blue,dusty rock,Murray,Pahrump Hills,0.069018,0.069049,0.0881254,0.0849608,0.106343,0.109054,0.123648,0.130669,0.163276,0.18714,0.198919,0.209032,0.208597,0.205112,0.198515,0.196463,0.193322,0.191217,0.0105574,0.0126171,0.0182234,0.0174271,0.0151001,0.0187397,0.0230901,0.0215711,0.0283146,0.0313766,0.0281333,0.0293065,0.0386528,0.0318204,0.0380181,0.0386925,0.027916,0.0357616
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,dark green,broken rock face,Murray,Pahrump Hills,0.127486,0.118502,0.13571,0.151768,0.133903,0.144395,0.145503,0.153068,0.17032,0.170519,0.17096,0.177779,0.202676,0.173925,0.19151,0.188909,0.162966,0.187534,0.0275847,0.018793,0.0327807,0.0381098,0.0257458,0.0268239,0.0264079,0.03195,0.0297646,0.0333439,0.0229973,0.0226049,0.0343241,0.0250748,0.0340176,0.0339151,0.0226392,0.0315745
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,dark red,disturbed soil,,,0.0301042,0.0315969,0.0363367,0.036987,0.044193,0.0460593,0.052916,0.0534628,0.0837148,0.0854115,0.0955108,0.104847,0.108515,0.100382,0.10503,0.100553,0.0957834,0.10192,0.0042689,0.00622155,0.00600127,0.00890381,0.00439095,0.00772699,0.00979885,0.00654424,0.0125495,0.00958316,0.00797908,0.00864576,0.0131658,0.00843562,0.0132963,0.0130212,0.00792734,0.0120771
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,goldenrod,veins,,,0.140647,0.124945,0.197599,0.17239,0.219018,0.170081,0.171944,0.28676,0.216001,0.393106,0.434341,0.468836,0.495784,0.467452,0.470799,0.48832,0.467586,0.48976,0.0298933,0.0205225,0.0415314,0.0312039,0.0414969,0.0230008,0.015916,0.0479051,0.0115797,0.0457684,0.0542574,0.0545614,0.0813151,0.068787,0.0723031,0.0785382,0.0715138,0.0771376
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,light blue,dusty rock,Murray,Pahrump Hills,0.068002,0.068815,0.0921733,0.0904098,0.118943,0.123273,0.146473,0.154298,0.188603,0.263452,0.293522,0.324398,0.333738,0.333274,0.3256,0.326848,0.330988,0.323491,0.00841024,0.0109073,0.0130411,0.0150979,0.0127078,0.0171982,0.020328,0.0176402,0.0208587,0.0277793,0.0261307,0.027589,0.0355829,0.0303146,0.0365825,0.03681,0.0275856,0.0336442
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,red,undisturbed soil,,,0.0314211,0.0302907,0.0375608,0.034792,0.0465652,0.0470787,0.0506523,0.0558913,0.0816554,0.0897685,0.100203,0.109546,0.103336,0.103765,0.0979542,0.0937035,0.0993949,0.0956893,0.00275153,0.00281762,0.0041823,0.00450568,0.00414074,0.00425781,0.00570553,0.00556052,0.00905546,0.00890656,0.0102343,0.0107775,0.0110463,0.00986938,0.0124137,0.0122276,0.00846325,0.0123123
Seely,999,11:05:38,mcam04430,-4447.2006,1.018469,2.856,13.488,34.2476,46.14581,-4.6682932,137.37002,,teal,dusty rock,Murray,Pahrump Hills,0.071231,0.071238,0.0886281,0.0853004,0.105336,0.106847,0.123024,0.13057,0.179461,0.195887,0.217467,0.239683,0.241996,0.230565,0.218903,0.218173,0.2297,0.226893,0.00488913,0.00808518,0.00858515,0.012571,0.00723365,0.0113573,0.0150857,0.0100465,0.0177347,0.0161135,0.0144354,0.0152864,0.0232981,0.0162761,0.0243885,0.0243281,0.0142874,0.0227624
Photom west 1x2,443,15:13:34,mcam01824,-4496.2457,0.619711,13.618,52.6615,70.857,123.15753,-4.622335,137.415,,light blue,dusty rock,Bradbury Group,,0.12176,,,,0.164931,,,,,,,0.414148,,,,,0.464724,,0.0113993,,,,0.0146297,,,,,,,0.0285817,,,,,0.0293441,
Photom west 1x2,443,15:13:34,mcam01824,-4496.2457,0.619711,13.618,52.6615,70.857,123.15753,-4.622335,137.415,,red,undisturbed soil,,,0.0518591,,,,0.0772523,,,,,,,0.210928,,,,,0.239904,,0.018947,,,,0.0235154,,,,,,,0.0420708,,,,,0.0520261,
"Hydration 5, 1x3",227,11:58:24,mcam01097,-4520.5738,0.735327,2.953,19.015,47.0028,58.005095,-4.589485,137.44913,,light blue,dusty rock,,,,,,0.0773183,,,0.119134,,0.192533,,,,,,,0.238762,,0.234801,,,,0.0103268,,,0.0123926,,0.0173951,,,,,,,0.0218539,,0.0203897
"Hydration 5, 1x3",227,11:58:24,mcam01097,-4520.5738,0.735327,2.953,19.015,47.0028,58.005095,-4.589485,137.44913,,light cyan,nodule-rich rock,,,,,,0.10139,,,0.167408,,0.295742,,,,,,,0.38379,,0.387839,,,,0.0121494,,,0.0171263,,0.0252341,,,,,,,0.028031,,0.025867
"Hydration 5, 1x3",227,11:58:24,mcam01097,-4520.5738,0.735327,2.953,19.015,47.0028,58.005095,-4.589485,137.44913,,red,undisturbed soil,,,,,,0.0609218,,,0.102099,,0.194898,,,,,,,0.285593,,0.289282,,,,0.00919052,,,0.0122143,,0.0211235,,,,,,,0.0304503,,0.0285629
VRR Region 8,1891,12:05:00,mcam09888,,0.39902,,29.7136,89.0977,82.945667,-4.7281334,137.37444,,dark blue,dusty rock,,,,,0.107166,,,,,0.161482,,0.261491,,0.309208,,0.31377,,,0.306907,,,,0.0108251,,,,,0.012205,,0.0176079,,0.0198061,,0.0211485,,,0.0186821,
VRR Region 8,1891,12:05:00,mcam09888,,0.39902,,29.7136,89.0977,82.945667,-4.7281334,137.37444,,light blue,dusty rock,,,,,0.100189,,,,,0.128384,,0.186927,,0.230619,,0.217416,,,0.228241,,,,0.00929575,,,,,0.0126407,,0.0187271,,0.0202815,,0.0202113,,,0.0184614,
VRR Region 8,1891,12:05:00,mcam09888,,0.39902,,29.7136,89.0977,82.945667,-4.7281334,137.37444,,red,undisturbed soil,,,,,0.079326,,,,,0.112216,,0.172705,,0.210143,,0.204516,,,0.204066,,,,0.0114005,,,,,0.0126548,,0.0173684,,0.0177845,,0.0194977,,,0.0182615,
VRR Region 8,1891,12:05:00,mcam09888,,0.39902,,29.7136,89.0977,82.945667,-4.7281334,137.37444,,teal,dusty rock,,,,,0.128734,,,,,0.15855,,0.203037,,0.231458,,0.224408,,,0.223911,,,,0.0103445,,,,,0.0111364,,0.0131044,,0.00985604,,0.0122466,,,0.0105616,
Kemps Folly Stereo,1812,12:49:53,mcam09351,-4200.2219,0.454408,3.88,28.7941,58.5933,30.23372,-4.7236781,137.37275,,dark blue,dusty rock,Murray,Pettegrove Point,0.0688593,0.0744506,0.0934291,0.0910724,0.110947,0.114705,0.140839,0.141739,0.240754,0.242605,0.263207,0.287635,0.28971,0.284186,0.286543,0.288309,0.295371,0.295037,0.00293667,0.00228637,0.00534422,0.00449976,0.00363986,0.00391864,0.00518279,0.00513642,0.00722345,0.00774615,0.0061766,0.00766039,0.0105493,0.00993422,0.0116369,0.0118648,0.0100178,0.0104175
Kemps Folly Stereo,1812,12:49:53,mcam09351,-4200.2219,0.454408,3.88,28.7941,58.5933,30.23372,-4.7236781,137.37275,,light blue,dusty rock,Murray,Pettegrove Point,0.0628949,0.0771044,0.0845713,0.0979987,0.0977401,0.113906,0.143877,0.128124,0.249238,0.222364,0.244377,0.270806,0.306638,0.261845,0.300548,0.302517,0.272053,0.307394,0.00124568,0.00178645,0.00231347,0.00388282,0.00211386,0.00369296,0.00457298,0.00328087,0.00650254,0.00419649,0.00644229,0.00677649,0.00994271,0.00695803,0.0119256,0.0121139,0.00777974,0.0105138
Kemps Folly Stereo,1812,12:49:53,mcam09351,-4200.2219,0.454408,3.88,28.7941,58.5933,30.23372,-4.7236781,137.37275,,red,undisturbed soil,,,0.0429793,0.0526279,0.0543852,0.0618063,0.0625778,0.0727679,0.0847333,0.0757063,0.124383,0.109127,0.119955,0.127399,0.145425,0.121913,0.139036,0.133494,0.114493,0.131015,0.00194204,0.00364136,0.00302053,0.00694429,0.00259732,0.00552444,0.00746548,0.00345597,0.00998025,0.00452506,0.00460592,0.00486576,0.0115076,0.00499815,0.0126269,0.0128643,0.00529128,0.01193
Kemps Folly Stereo,1812,12:49:53,mcam09351,-4200.2219,0.454408,3.88,28.7941,58.5933,30.23372,-4.7236781,137.37275,,sienna,,Murray,Pettegrove Point,0.0698149,0.071959,0.0879925,0.0820777,0.0975809,0.0969981,0.113787,0.123119,0.201944,0.219191,0.241847,0.265012,0.247234,0.253684,0.237245,0.241363,0.270024,0.251417,0.00193969,0.00257056,0.00702935,0.00582615,0.00592532,0.00562516,0.0072612,0.00728526,0.0106271,0.0116546,0.0107824,0.0120827,0.0139599,0.0131313,0.0140705,0.0133554,0.0116918,0.0124228
